"branch","pay_year","average_pay","currency"
Administrativní a podpůrné činnosti,2006,13929.00000000,Kč
Administrativní a podpůrné činnosti,2007,14676.25000000,Kč
Administrativní a podpůrné činnosti,2008,14989.12500000,Kč
Administrativní a podpůrné činnosti,2009,15480.87500000,Kč
Administrativní a podpůrné činnosti,2010,15582.37500000,Kč
Administrativní a podpůrné činnosti,2011,16028.00000000,Kč
Administrativní a podpůrné činnosti,2012,16487.75000000,Kč
Administrativní a podpůrné činnosti,2013,16427.62500000,Kč
Administrativní a podpůrné činnosti,2014,16695.87500000,Kč
Administrativní a podpůrné činnosti,2015,17064.87500000,Kč
Administrativní a podpůrné činnosti,2016,18057.75000000,Kč
Administrativní a podpůrné činnosti,2017,19214.62500000,Kč
Administrativní a podpůrné činnosti,2018,20559.50000000,Kč
Činnosti v oblasti nemovitostí,2006,18396.37500000,Kč
Činnosti v oblasti nemovitostí,2007,19851.25000000,Kč
Činnosti v oblasti nemovitostí,2008,20223.25000000,Kč
Činnosti v oblasti nemovitostí,2009,20312.62500000,Kč
Činnosti v oblasti nemovitostí,2010,20802.87500000,Kč
Činnosti v oblasti nemovitostí,2011,21710.25000000,Kč
Činnosti v oblasti nemovitostí,2012,21995.50000000,Kč
Činnosti v oblasti nemovitostí,2013,21622.75000000,Kč
Činnosti v oblasti nemovitostí,2014,22287.37500000,Kč
Činnosti v oblasti nemovitostí,2015,23064.87500000,Kč
Činnosti v oblasti nemovitostí,2016,24078.12500000,Kč
Činnosti v oblasti nemovitostí,2017,25611.75000000,Kč
Činnosti v oblasti nemovitostí,2018,27584.25000000,Kč
Doprava a skladování,2006,19125.25000000,Kč
Doprava a skladování,2007,20523.75000000,Kč
Doprava a skladování,2008,22190.87500000,Kč
Doprava a skladování,2009,22849.12500000,Kč
Doprava a skladování,2010,22901.37500000,Kč
Doprava a skladování,2011,22909.12500000,Kč
Doprava a skladování,2012,23145.75000000,Kč
Doprava a skladování,2013,23270.62500000,Kč
Doprava a skladování,2014,23737.00000000,Kč
Doprava a skladování,2015,24507.25000000,Kč
Doprava a skladování,2016,25660.25000000,Kč
Doprava a skladování,2017,27289.12500000,Kč
Doprava a skladování,2018,29297.62500000,Kč
Informační a komunikační činnosti,2006,35367.50000000,Kč
Informační a komunikační činnosti,2007,37677.00000000,Kč
Informační a komunikační činnosti,2008,41324.37500000,Kč
Informační a komunikační činnosti,2009,42660.12500000,Kč
Informační a komunikační činnosti,2010,43298.50000000,Kč
Informační a komunikační činnosti,2011,44800.25000000,Kč
Informační a komunikační činnosti,2012,46165.25000000,Kč
Informační a komunikační činnosti,2013,45697.50000000,Kč
Informační a komunikační činnosti,2014,47372.50000000,Kč
Informační a komunikační činnosti,2015,48418.37500000,Kč
Informační a komunikační činnosti,2016,49653.75000000,Kč
Informační a komunikační činnosti,2017,52226.62500000,Kč
Informační a komunikační činnosti,2018,56101.25000000,Kč
"Kulturní, zábavní a rekreační činnosti",2006,16152.37500000,Kč
"Kulturní, zábavní a rekreační činnosti",2007,17188.12500000,Kč
"Kulturní, zábavní a rekreační činnosti",2008,18087.62500000,Kč
"Kulturní, zábavní a rekreační činnosti",2009,18887.37500000,Kč
"Kulturní, zábavní a rekreační činnosti",2010,19222.50000000,Kč
"Kulturní, zábavní a rekreační činnosti",2011,19213.62500000,Kč
"Kulturní, zábavní a rekreační činnosti",2012,20179.37500000,Kč
"Kulturní, zábavní a rekreační činnosti",2013,19901.75000000,Kč
"Kulturní, zábavní a rekreační činnosti",2014,20710.37500000,Kč
"Kulturní, zábavní a rekreační činnosti",2015,21448.62500000,Kč
"Kulturní, zábavní a rekreační činnosti",2016,22861.62500000,Kč
"Kulturní, zábavní a rekreační činnosti",2017,24858.87500000,Kč
"Kulturní, zábavní a rekreační činnosti",2018,27580.25000000,Kč
Ostatní činnosti,2006,15719.37500000,Kč
Ostatní činnosti,2007,16765.62500000,Kč
Ostatní činnosti,2008,17240.87500000,Kč
Ostatní činnosti,2009,17555.37500000,Kč
Ostatní činnosti,2010,17576.87500000,Kč
Ostatní činnosti,2011,18412.37500000,Kč
Ostatní činnosti,2012,18609.37500000,Kč
Ostatní činnosti,2013,18879.87500000,Kč
Ostatní činnosti,2014,19163.12500000,Kč
Ostatní činnosti,2015,19700.87500000,Kč
Ostatní činnosti,2016,20304.00000000,Kč
Ostatní činnosti,2017,21210.87500000,Kč
Ostatní činnosti,2018,22473.00000000,Kč
Peněžnictví a pojišťovnictví,2006,39690.12500000,Kč
Peněžnictví a pojišťovnictví,2007,41548.62500000,Kč
Peněžnictví a pojišťovnictví,2008,44822.50000000,Kč
Peněžnictví a pojišťovnictví,2009,45405.75000000,Kč
Peněžnictví a pojišťovnictví,2010,45764.25000000,Kč
Peněžnictví a pojišťovnictví,2011,47120.87500000,Kč
Peněžnictví a pojišťovnictví,2012,50253.50000000,Kč
Peněžnictví a pojišťovnictví,2013,45775.00000000,Kč
Peněžnictví a pojišťovnictví,2014,47629.75000000,Kč
Peněžnictví a pojišťovnictví,2015,47902.62500000,Kč
Peněžnictví a pojišťovnictví,2016,49393.50000000,Kč
Peněžnictví a pojišťovnictví,2017,51291.37500000,Kč
Peněžnictví a pojišťovnictví,2018,54111.37500000,Kč
"Profesní, vědecké a technické činnosti",2006,23875.37500000,Kč
"Profesní, vědecké a technické činnosti",2007,26101.75000000,Kč
"Profesní, vědecké a technické činnosti",2008,29441.12500000,Kč
"Profesní, vědecké a technické činnosti",2009,31037.62500000,Kč
"Profesní, vědecké a technické činnosti",2010,30848.25000000,Kč
"Profesní, vědecké a technické činnosti",2011,31423.75000000,Kč
"Profesní, vědecké a technické činnosti",2012,31979.00000000,Kč
"Profesní, vědecké a technické činnosti",2013,31049.50000000,Kč
"Profesní, vědecké a technické činnosti",2014,31822.87500000,Kč
"Profesní, vědecké a technické činnosti",2015,32955.12500000,Kč
"Profesní, vědecké a technické činnosti",2016,33996.25000000,Kč
"Profesní, vědecké a technické činnosti",2017,35929.75000000,Kč
"Profesní, vědecké a technické činnosti",2018,38073.87500000,Kč
Stavebnictví,2006,17747.00000000,Kč
Stavebnictví,2007,18924.62500000,Kč
Stavebnictví,2008,20814.12500000,Kč
Stavebnictví,2009,21917.12500000,Kč
Stavebnictví,2010,22112.87500000,Kč
Stavebnictví,2011,22635.87500000,Kč
Stavebnictví,2012,22710.75000000,Kč
Stavebnictví,2013,22226.50000000,Kč
Stavebnictví,2014,22776.12500000,Kč
Stavebnictví,2015,23768.25000000,Kč
Stavebnictví,2016,24737.75000000,Kč
Stavebnictví,2017,25835.87500000,Kč
Stavebnictví,2018,27994.12500000,Kč
Těžba a dobývání,2006,24042.12500000,Kč
Těžba a dobývání,2007,25704.50000000,Kč
Těžba a dobývání,2008,29254.25000000,Kč
Těžba a dobývání,2009,28160.50000000,Kč
Těžba a dobývání,2010,30240.87500000,Kč
Těžba a dobývání,2011,31491.12500000,Kč
Těžba a dobývání,2012,32513.62500000,Kč
Těžba a dobývání,2013,31586.12500000,Kč
Těžba a dobývání,2014,31336.00000000,Kč
Těžba a dobývání,2015,31674.00000000,Kč
Těžba a dobývání,2016,31487.12500000,Kč
Těžba a dobývání,2017,33501.37500000,Kč
Těžba a dobývání,2018,35990.87500000,Kč
"Ubytování, stravování a pohostinství",2006,11390.00000000,Kč
"Ubytování, stravování a pohostinství",2007,12056.00000000,Kč
"Ubytování, stravování a pohostinství",2008,12204.50000000,Kč
"Ubytování, stravování a pohostinství",2009,12058.12500000,Kč
"Ubytování, stravování a pohostinství",2010,12924.87500000,Kč
"Ubytování, stravování a pohostinství",2011,12781.25000000,Kč
"Ubytování, stravování a pohostinství",2012,12981.25000000,Kč
"Ubytování, stravování a pohostinství",2013,13425.00000000,Kč
"Ubytování, stravování a pohostinství",2014,13698.75000000,Kč
"Ubytování, stravování a pohostinství",2015,14519.75000000,Kč
"Ubytování, stravování a pohostinství",2016,15369.62500000,Kč
"Ubytování, stravování a pohostinství",2017,17180.87500000,Kč
"Ubytování, stravování a pohostinství",2018,18769.87500000,Kč
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,17864.87500000,Kč
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2007,19420.87500000,Kč
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,20964.62500000,Kč
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2009,20970.62500000,Kč
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2010,21623.12500000,Kč
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2011,22336.62500000,Kč
