"name","avg_price","unit_value","unit","price_year","avg_pay","currency","branch","GDP"
Šunkový salám,116.77,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Jogurt bílý netučný,5.83,150.0,g,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Pečivo pšeničné bílé,38.6,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Vepřová pečeně s kostí,105.18,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Cukr krystalový,21.73,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Kuřata kuchaná celá,47.47,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Přírodní minerální voda uhličitá,7.69,1.0,l,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Chléb konzumní kmínový,16.12,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Mrkev,14.41,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Rostlinný roztíratelný tuk,69.45,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Těstoviny vaječné,26.1,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Kapr živý,69.35,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
"Pivo výčepní, světlé, lahvové",8.45,0.5,l,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Eidamská cihla,110.95,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Máslo,104.39,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Pšeničná mouka hladká,7.41,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Rýže loupaná dlouhozrnná,21.29,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Jablka konzumní,30.71,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Papriky,35.31,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Vejce slepičí čerstvá,23.49,10.0,ks,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Banány žluté,27.3,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Konzumní brambory,12.07,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Pomeranče,24.73,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Hovězí maso zadní bez kosti,166.34,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Mléko polotučné pasterované,14.44,1.0,l,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Rajská jablka červená kulatá,57.83,1.0,kg,2006,13929.0000,Kč,Administrativní a podpůrné činnosti,197470142753.551
Kuřata kuchaná celá,53.61,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Přírodní minerální voda uhličitá,7.73,1.0,l,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Vepřová pečeně s kostí,102.9,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Cukr krystalový,21.92,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Mrkev,14.18,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Rostlinný roztíratelný tuk,69.5,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Chléb konzumní kmínový,18.85,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
"Pivo výčepní, světlé, lahvové",8.51,0.5,l,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Těstoviny vaječné,26.71,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Kapr živý,78.97,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Máslo,115.78,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Pšeničná mouka hladká,9.08,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Eidamská cihla,122.68,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Papriky,68.79,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Rýže loupaná dlouhozrnná,23.86,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Jablka konzumní,28.49,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Konzumní brambory,14.1,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Pomeranče,30.23,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Vejce slepičí čerstvá,24.97,10.0,ks,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Banány žluté,30.85,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Mléko polotučné pasterované,15.59,1.0,l,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Rajská jablka červená kulatá,40.32,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Hovězí maso zadní bez kosti,169.46,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Pečivo pšeničné bílé,44.04,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Šunkový salám,116.44,1.0,kg,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Jogurt bílý netučný,5.88,150.0,g,2007,14676.2500,Kč,Administrativní a podpůrné činnosti,208469898850.69
Eidamská cihla,135.28,1.0,kg,2008,14989.1250,Kč,Administrativní a podpůrné činnosti,214070259127.502
Máslo,114.74,1.0,kg,2008,14989.1250,Kč,Administrativní a podpůrné činnosti,214070259127.502
Pšeničná mouka hladká,12.98,1.0,kg,2008,14989.1250,Kč,Administrativní a podpůrné činnosti,214070259127.502
Jablka konzumní,33.19,1.0,kg,2008,14989.1250,Kč,Administrativní a podpůrné činnosti,214070259127.502
