"country","GDP_year","GDP","population","gini","taxes","fertility","mortaliy_under5"
Albania,2006,9767379279.88863,2992547.0,,,1.704,18.5
Albania,2007,10351466806.2388,2970017.0,,,1.671,17.1
Albania,2008,11127823665.7504,2947314.0,30.0,,1.654,15.8
Albania,2009,11500613161.6647,2927519.0,,,1.652,14.5
Albania,2010,11926928505.5231,2913021.0,,,1.66,13.2
Albania,2011,12230507222.1843,2905195.0,,18.0220121712647,1.673,12.1
Albania,2012,12403877841.0321,2900401.0,29.0,17.4832338190971,1.684,11.2
Albania,2013,12528163103.1195,2895092.0,,16.5032748907978,1.69,10.4
Albania,2014,12750473701.7819,2889104.0,34.6,18.3019409890441,1.688,9.9
Albania,2015,13033375121.5884,2880703.0,32.9,18.5157960517393,1.677,9.6
Albania,2016,13465406059.6498,2876101.0,33.7,17.5902283762095,1.659,9.4
Albania,2017,13977387390.5945,2873457.0,33.2,18.8874860107451,1.638,9.4
Albania,2018,14546448944.4056,2866376.0,,18.5574753953261,1.617,9.5
Andorra,2006,3875142516.24022,80995.0,,,1.24,5.7
Andorra,2007,3935330770.25056,82682.0,,,1.18,5.4
Andorra,2008,3716558398.51518,83860.0,,,1.25,5.1
Andorra,2009,3519475009.94299,84461.0,,,1.19,4.9
Andorra,2010,3449966856.68832,84454.0,,,1.27,4.6
Andorra,2011,3449688452.87021,83748.0,,,,4.4
Andorra,2012,3278085642.31738,82427.0,,,,4.1
Andorra,2013,3161792390.29564,80770.0,,,,3.9
Andorra,2014,3240978390.56079,79213.0,,,,3.7
Andorra,2015,3287458570.8604,77993.0,,,,3.5
Andorra,2016,3409412700.51704,77295.0,,,,3.4
Andorra,2017,3421211719.47501,76997.0,,,,3.2
Andorra,2018,3475566750.62972,77008.0,,,,3.1
Austria,2006,380329113681.259,8268641.0,29.6,25.0504425566822,1.41,4.8
Austria,2007,394505559258.526,8295487.0,30.6,25.3919943156154,1.38,4.6
Austria,2008,400267011848.042,8321496.0,30.4,26.0775197165623,1.42,4.5
Austria,2009,385198647266.611,8343323.0,31.5,25.2251652368968,1.39,4.4
Austria,2010,392275107258.667,8363404.0,30.3,25.2816355062362,1.44,4.3
Austria,2011,403740513438.199,8391643.0,30.8,25.4279852755305,1.43,4.2
Austria,2012,406487747903.707,8429991.0,30.5,25.92819764092,1.44,4.1
Austria,2013,406591421433.927,8479823.0,30.8,26.4151730942712,1.44,3.9
Austria,2014,409280100109.633,8546356.0,30.5,26.4178983110922,1.46,3.8
Austria,2015,413432253216.039,8642699.0,30.5,26.8261674155428,1.49,3.7
Austria,2016,421657228102.472,8736668.0,30.8,25.4191692326751,1.53,3.6
Austria,2017,431775262676.529,8797566.0,29.7,25.4236447885622,1.52,3.6
Austria,2018,442915585749.024,8840521.0,30.8,25.430348081384,1.47,3.5
Belarus,2006,44266566187.7427,9604924.0,28.3,22.2230966228065,1.335,7.8
Belarus,2007,48073493773.2612,9560953.0,29.6,23.7266987288672,1.429,7.2
Belarus,2008,52976989868.7029,9527985.0,27.8,25.3533892055523,1.488,6.6
Belarus,2009,53082941363.8271,9506765.0,27.7,18.6294706290955,1.509,6.0
Belarus,2010,57222490768.7143,9490583.0,28.6,16.321438373621,1.494,5.5
Belarus,2011,60300321142.6581,9473172.0,27.2,14.5090725642403,1.515,5.1
Belarus,2012,61317669289.2363,9464495.0,26.5,14.6629750334495,1.62,4.8
Belarus,2013,61932974220.8466,9465997.0,26.6,13.3549628478795,1.668,4.5
Belarus,2014,63002175707.5323,9474511.0,27.2,12.6977245264198,1.696,4.3
Belarus,2015,60589462935.5585,9489616.0,25.6,14.1730944654204,1.724,4.0
Belarus,2016,59058702608.9201,9501534.0,25.3,13.7882356123814,1.733,3.8
Belarus,2017,60554177331.8333,9498264.0,25.4,13.0190056104974,1.541,3.6
Belarus,2018,62461148027.2823,9483499.0,25.2,14.6725689698389,1.448,3.4
Belgium,2006,458677622724.361,10547958,28.1,25.2877504793919,1.8,4.8
Belgium,2007,475542653709.135,10625700,29.2,24.7885375338784,1.82,4.7
Belgium,2008,477667990477.055,10709973,28.4,25.2541698756848,1.85,4.6
Belgium,2009,468015547701.557,10796493,28.6,23.7814627872664,1.84,4.6
Belgium,2010,481420882905.001,10895586,28.4,24.4682424221396,1.86,4.5
Belgium,2011,489578626676.653,11038264,28.1,24.9366568094395,1.81,4.4
Belgium,2012,493197676499.208,11106932,27.5,25.8241412500612,1.8,4.3
Belgium,2013,495462648324.133,11159407,27.7,26.1908470779882,1.76,4.2
Belgium,2014,503283690440.236,11209057,28.1,26.1345254492953,1.74,4.1
Belgium,2015,513558020680.56,11274196,27.7,24.3545378057285,1.7,3.9
Belgium,2016,520063190330.958,11331422,27.6,22.8423291844664,1.68,3.8
Belgium,2017,528496260419.776,11375158,27.4,23.4471130328923,1.65,3.7
Belgium,2018,537945351170.51,11427054,27.2,23.9898290527556,1.62,3.5
Bosnia and Herzegovina,2006,15729153560.7731,3765422.0,,21.6899549903613,1.288,8.6
Bosnia and Herzegovina,2007,16650743291.5849,3762791.0,33.1,21.3942696573542,1.295,8.3
Bosnia and Herzegovina,2008,17556851230.7796,3754261.0,,20.3021131798131,1.303,7.9
Bosnia and Herzegovina,2009,17029363372.8317,3735945.0,,18.9462862896253,1.311,7.5
Bosnia and Herzegovina,2010,17176781336.7644,3705478.0,,19.685676092678,1.315,7.2
Bosnia and Herzegovina,2011,17341594485.6047,3661173.0,33.0,20.3056652821355,1.315,6.9
Bosnia and Herzegovina,2012,17199074936.9112,3604972.0,,20.4775397851709,1.313,6.7
Bosnia and Herzegovina,2013,17603228545.3329,3542598.0,,19.751544642443,1.309,6.5
Bosnia and Herzegovina,2014,17806343590.1312,3482106.0,,19.7779015559579,1.303,6.4
Bosnia and Herzegovina,2015,18356410773.0628,3429362.0,,19.934215698148,1.296,6.3
Bosnia and Herzegovina,2016,18934602269.0509,3386263.0,,19.9514915061892,1.286,6.2
Bosnia and Herzegovina,2017,19535100848.8297,3351534.0,,20.2593374095498,1.276,6.1
Bosnia and Herzegovina,2018,20265727508.4724,3323929.0,,20.4407481319936,1.265,6.0
Bulgaria,2006,45869280338.7161,7601022.0,35.7,20.9586024856237,1.44,12.4
Bulgaria,2007,48876966228.4417,7545338.0,36.1,22.8855538162622,1.49,11.8
Bulgaria,2008,51851436378.6577,7492561.0,33.6,22.1684066273517,1.56,11.4
Bulgaria,2009,50101534229.7147,7444443.0,33.8,18.9826073990539,1.66,11.1
Bulgaria,2010,50381825504.2642,7395599.0,35.7,18.5344879993123,1.57,10.9
Bulgaria,2011,51568094264.4734,7348328.0,34.3,17.7491832428873,1.51,10.4
Bulgaria,2012,51751979375.9177,7305888.0,36.0,18.9711177865646,1.5,9.9
Bulgaria,2013,51920571507.3287,7265115.0,36.6,19.9966627966496,1.48,9.2
Bulgaria,2014,52899515523.1699,7223938.0,37.4,19.5930088555487,1.53,8.6
Bulgaria,2015,55010127749.7693,7177991.0,38.6,20.2900487798284,1.53,8.1
Bulgaria,2016,57111753665.4351,7127822.0,40.6,20.2613281385094,1.54,7.7
Bulgaria,2017,59112236490.8388,7075947.0,40.4,20.1008550738846,1.56,7.4
Bulgaria,2018,60940251461.1954,7025037.0,41.3,20.173382323872,1.56,7.0
Channel Islands,2006,,152999.0,,,1.527,
Channel Islands,2007,,154644.0,,,1.547,
Channel Islands,2008,,156441.0,,,1.564,
Channel Islands,2009,,158187.0,,,1.578,
Channel Islands,2010,,159718.0,,,1.585,
Channel Islands,2011,,160990.0,,,1.586,
Channel Islands,2012,,162051.0,,,1.58,
Channel Islands,2013,,163039.0,,,1.569,
Channel Islands,2014,,164107.0,,,1.556,
Channel Islands,2015,,165387.0,,,1.541,
Channel Islands,2016,,166922.0,,,1.527,
Channel Islands,2017,,168666.0,,,1.516,
Channel Islands,2018,,170496.0,,,1.51,
Croatia,2006,61197075793.9092,4311159.0,,20.9011393134949,1.47,6.4
Croatia,2007,64298314188.4647,4310217.0,,20.7565052961668,1.48,6.1
Croatia,2008,65515772483.174,4309705.0,,20.5468511952854,1.47,5.9
Croatia,2009,60717700435.3099,4305181.0,32.6,19.6665408135383,1.5,5.7
Croatia,2010,59918313669.1671,4295427.0,32.4,19.7448967450168,1.46,5.5
Croatia,2011,59799454151.6423,4280622.0,32.3,19.1765141424098,1.41,5.3
Croatia,2012,58369186194.0968,4267558.0,32.5,19.7316344415716,1.52,5.2
Croatia,2013,58108222128.8461,4255689.0,32.0,20.2715099763155,1.46,5.1
Croatia,2014,57909810141.88,4238389.0,32.1,19.9423843681328,1.46,5.0
Croatia,2015,59318112197.5722,4203604.0,31.1,20.8456467880009,1.41,4.9
Croatia,2016,61393139836.7654,4174349.0,30.9,21.3473431088534,1.43,4.9
Croatia,2017,63504583355.145,4124531.0,30.4,21.4996965088432,1.42,4.9
Croatia,2018,65287544197.8689,4087843.0,29.7,21.8345403863804,1.47,4.8
Czech Republic,2006,197470142753.551,10238905,26.7,14.2222295228868,1.34,4.1
Czech Republic,2007,208469898850.69,10298828,26.0,14.6116900671662,1.45,3.9
Czech Republic,2008,214070259127.502,10384603,26.3,13.6730928105351,1.51,3.7
Czech Republic,2009,204100298391.036,10443936,26.2,13.5702219344919,1.51,3.5
Czech Republic,2010,209069940963.177,10474410,26.6,13.6507574751995,1.51,3.4
Czech Republic,2011,212750323790.759,10496088,26.4,14.5202634059379,1.43,3.3
Czech Republic,2012,211080224602.858,10510785,26.1,14.9287634461197,1.45,3.2
Czech Republic,2013,210983331025.624,10514272,26.5,15.0811610763803,1.46,3.1
Czech Republic,2014,215755991069.112,10525347,25.9,14.4296540586861,1.53,3.1
Czech Republic,2015,227381745549.048,10546059,25.9,14.7695604553833,1.57,3.2
Czech Republic,2016,233151067380.883,10566332,25.4,14.9127775532102,1.63,3.2
Czech Republic,2017,245202003265.939,10594438,24.9,15.0055285503497,1.69,3.2
Czech Republic,2018,253045172103.95,10629928,25.0,14.8364085391609,1.71,3.2
Denmark,2006,331090561927.791,5437272.0,25.9,31.8602911588695,1.85,4.8
